method,queries,precision_at_10,recall_at_10,mrr,ndcg_at_10,latency_seconds
BM25,1000,0.08059999999999992,0.3768499030413498,0.3240269841269839,0.2968246628235132,1.5912427474999749
Dense,1000,0.11359999999999917,0.5323211471112537,0.4119190476190472,0.4019954994795407,0.06450396090004688
Fixed Hybrid,1000,0.11109999999999917,0.518906268180907,0.43578452380952337,0.4073481336969645,1.655746708400022
Adaptive Hybrid,1000,0.11479999999999907,0.5381200002248234,0.43403849206349143,0.41585294237344944,1.655746708400022
